@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sessionId numeric
@attribute framing {0,1,2}
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
704,0,alarm,pur,cohvac,Locally,reco,0
811,0,alarm,pur,coassis,Locally,reco,1
709,0,tv,pur,colight,Locally,reco,0
710,1,watch,pur,cohvac,'Remote Server',reco,1
712,2,watch,pur,cohvac,'Third Party Share',nothing,0
713,2,tv,pur,coassis,'Third Party Share',nothing,0
716,2,alarm,pur,coassis,'Third Party Share',nothing,0
718,0,alarm,pur,corefri,Locally,reco,0
722,0,assis,pur,colight,Locally,reco,1
723,2,alarm,pur,corefri,'Third Party Share',opti,0
724,2,assis,pur,colight,'Third Party Share',nothing,0
725,2,tv,pur,coassis,'Third Party Share',opti,0
726,1,alarm,pur,cosecu,'Remote Server',reco,0
743,2,alarm,pur,cohvac,'Third Party Share',opti,0
728,2,tv,pur,cosecu,'Third Party Share',reco,0
834,1,watch,pur,corefri,'Remote Server',nothing,1
731,0,tv,pur,cosecu,Locally,opti,1
735,2,tv,pur,colight,'Third Party Share',nothing,1
736,1,assis,pur,coassis,'Remote Server',insight,0
737,2,watch,pur,coassis,'Third Party Share',nothing,1
738,2,alarm,pur,cowash,'Third Party Share',insight,1
739,2,assis,pur,cohvac,'Third Party Share',reco,1
740,2,tv,pur,cohvac,'Third Party Share',opti,0
741,0,watch,pur,corefri,Locally,opti,1
742,2,assis,pur,coassis,'Third Party Share',opti,0
746,2,assis,pur,corefri,'Third Party Share',reco,0
748,2,tv,pur,colight,'Third Party Share',insight,1
749,2,assis,pur,corefri,'Third Party Share',insight,0
753,0,alarm,pur,cohvac,Locally,insight,1
754,1,alarm,pur,coassis,'Remote Server',insight,1
